word,transcript
smart,con bé này smart thật biết cách lấy lòng người lớn
slow,hôm nay tao thấy xe mày chạy hơi slow đó
sorry,sorry em không hiểu ý anh lắm ạ
speak,thôi đừng speak nữa tớ buồn ngủ rồi
space,tớ cần thêm space để thở chút đã
happily,chuyện này kết thúc happily rồi mình đi ăn thôi
harmful,đừng nghĩ những lời nói đó là harmful
headache,hôm nay em bị headache quá chắc phải nghỉ ngơi thôi
hollow,cảm giác của tôi về lời hứa đó thật hollow và trống rỗng
honey,em làm việc chăm chỉ nha honey
horizontal,em vẽ đường horizontal này chưa thẳng lắm đâu
ignore,thôi tao xin mày đấy đừng ignore tao nữa mà
impressive,bài thuyết trình của bạn hôm nay thật là impressive
independence,tôi muốn có financial independence để tự do làm những điều mình thích
indoor,hôm nay trời mưa nên mình ở nhà chơi indoor games thôi
inform,mình sẽ inform bạn ngay khi có kết quả nhé
insult,đừng có insult tôi như thế chứ tôi không thích đâu
intelligent,nhìn cách anh ta giải quyết vấn đề thông minh thấy rõ anh ta intelligent
interrupt,em xin lỗi nhưng phải interrupt anh ngay bây giờ
intention,em có intention tốt nhưng chưa biết cách diễn đạt
into,anh ấy đang get into âm nhạc việt
investigate,mình cần investigate thêm về vụ này trước khi quyết định
issue,cái issue này để em giải quyết cho
jeans,hôm nay mặc jeans này đi chơi cho thoải mái ha
juice,uống juice này đi cho khỏe người nha bạn
kick,tôi định kick quả bóng này thật mạnh
kid,thằng bé kid đó nghịch ngợm quá đi thôi
kindness,mình nghĩ kindness là chìa khóa để giải quyết mọi chuyện
ladder,để trèo lên chỗ đó mình cần một cái ladder
labour,làm việc này nặng nhọc quá chắc phải thuê labour thôi
lazy,hôm nay tao thấy hơi lazy nên chắc ở nhà thôi
lean,anh cần phải lean vào kinh nghiệm của em để thành công
lemon,cái bánh này ngon nhưng mà hơi lemon một tí
lend,anh có thể lend em cái bút chì được không
lively,hôm nay lớp học rất lively các bạn đều hăng say
locally,mình thấy sản phẩm này làm locally có vẻ chất lượng đó
locate,mình không locate được cái usb của mình ở đâu cả
logical,giải thích bài toán logical hơn.
lonely,hôm nay trời mưa nên tớ thấy hơi lonely một chút
loudly,thằng bé cười loudly khi xem phim hoạt hình
lovely,cái áo này màu sắc lovely quá hợp với em đó
lover,anh ấy chỉ coi em như là một summer lover thôi
advise,tao advise mày nên suy nghĩ kỹ trước khi quyết định
admit,tao phải admit là bài này khó thật
always,em sẽ always yêu anh
anger,khi nghe tin đó tôi cảm thấy anger dâng trào
ankle,hôm qua đá banh bị trẹo cái ankle đau quá trời
annually,công ty mình báo cáo doanh thu annually
anticipate,mình anticipate kết quả tốt đẹp cho dự án này
anxious,hôm nay mình hơi anxious vì bài kiểm tra khó quá
any,em không cần gì đâu any thứ cũng ổn rồi
anybody,tao không care chuyện đó miễn là anybody giúp tao được
anyone,nếu anyone gọi điện thì bảo là tôi đang bận nhé
apologize,em biết là em sai rồi em sẽ apologize với anh sau
appoint,mình sẽ appoint một người khác cho dự án này
argue,mấy đứa em cứ argue hoài không ai chịu nhường ai
artificial,cây hoa này nhìn artificial quá không thật tí nào
autumn,mùa thu này chán quá chỉ muốn đi đâu đó tận hưởng autumn thôi
awful,bài kiểm tra awful quá làm tớ stress
bacteria,nhớ rửa tay thường xuyên để tránh bacteria lây lan nha
behaviour,tao thấy behaviour của nó hơi strange đó mày
behave,mấy đứa em nhớ behave cho ngoan nghe chưa
bench,ra đây ngồi cái bench này chill tí đi
bend,cẩn thận cái ống nước đó coi chừng bend quá là gãy đó nha
beside,chị ngồi beside em cho đỡ lạnh đi
blade,con dao này blade bén quá cẩn thận nhé
borrow,anh định borrow xe máy của em đi có được không
emphasize,mình muốn emphasize tầm quan trọng của việc học hành
employ,công ty đang cần employ thêm nhân viên cho dự án mới
enemy,thằng đó là enemy của tao đó đừng có chơi với nó
enormous,cái bánh kem sinh nhật này enormous quá chắc ăn cả tuần mới hết
entertain,hôm nay mình sẽ entertain các bạn bằng một bài hát
envelope,anh ấy cẩn thận bỏ lá thư vào cái envelope màu trắng
equally,chị ấy chia bánh cho các cháu equally
essay,tôi cần hoàn thành bài essay này trước deadline
everybody,mấy bạn ơi everybody chuẩn bị đi ăn tối thôi nha
everyone,hôm nay lớp mình nghỉ nên everyone được ở nhà
excite,tôi rất excite về chuyến đi chơi cuối tuần này
excuse,excuse em cho em hỏi đường đến bưu điện ạ
expose,đừng expose chuyện này cho ai biết hết nha
extreme,thời tiết hôm nay extreme quá đi mất
faithfully,anh ấy dịch bài thơ này rất faithfully
favor,làm ơn giúp mình một favor được không bạn
finish,mình phải finish cái report này trước deadline
finger,đừng có mà finger vào chuyện của người khác
frozen,em thấy món kem này frozen quá ăn không ngon
gather,mình gather bạn bè ở nhà hàng tối nay nhé
generous,hôm nay anh ấy generous quá mua quà cho cả phòng
girlfriend,hôm qua mình đi xem phim với girlfriend vui lắm
glove,tay anh bị trầy nên phải đeo glove khi làm việc
grab,tí nữa mình grab đồ ăn rồi qua nhà nha
gradual,sự thay đổi ở đây rất gradual không có gì đột ngột cả
grammar,bài văn này ý tưởng tốt nhưng grammar cần cải thiện nhiều
granddaughter,con bé granddaughter của bà dễ thương quá trời
grandmother,hôm qua grandmother của tôi vừa mới qua đời
grandfather,hôm nay grandfather dẫn cả nhà đi ăn bún đậu mắm tôm
grateful,tôi rất grateful vì bạn đã giúp đỡ tôi
groceries,hôm nay em phải đi mua groceries cho cả tuần đó anh ạ
informal,tụi mình đi ăn vặt cho informal một chút nha
innocent,nhìn mặt nó innocent thế thôi chứ không biết đâu
stranger,hôm qua gặp một stranger ở công viên làm tôi hơi sợ
strict,ông thầy này strict quá làm tụi em stress kinh khủng
student,mấy bạn student mới vào trường ai cũng bỡ ngỡ
suffer,anh ấy suffer nhiều vì công việc này quá
supply,mình cần thêm gạo chứ nhà hết supply rồi
surround,mình muốn surround bản thân bằng những người tích cực
survive,trong cái society này phải giỏi thì mới survive được
ability,cô ấy có ability để giải quyết vấn đề này nhanh chóng
academic,bài này khó quá kiến thức academic của mình chưa đủ để giải
airline,mình đặt vé airline này qua app được không nhỉ
amazing,cái bánh này ngon amazing luôn á
anyway,mình định đi ăn phở nhưng anyway mình không đói lắm
application,tao vừa apply cái application đó xong chắc phải chờ dài cổ
army,mấy đứa army đáng yêu quá đi mất
area,khu này toàn building cao tầng area phát triển nhất thành phố
award,anh ấy xứng đáng nhận được award này
basic,cái này basic quá ai mà không làm được
bill,anh ơi cho em xin cái bill ạ
list,mình cần tạo một cái list những việc cần làm cho tuần này nhé
lead,anh ta là lead trong dự án này
leader,anh ấy đúng là một người leader có tầm nhìn
tradition,ở việt nam mình tradition gia đình rất quan trọng
singer,em thích nghe chị hà hát chị ấy là một singer tài năng
message,tao gửi message cho mày rồi check đi
middle,ở middle lớp học tôi luôn cảm thấy thoải mái
million,căn nhà này chắc phải đáng giá cả triệu đô million đô
meeting,hôm nay có meeting quan trọng nhớ chuẩn bị kỹ nha
mobile,tao quên mang mobile rồi tí gọi lại cho mày nhé
marketing,mình nghĩ chiến dịch marketing này cần phải sáng tạo hơn nữa
manufacturer,mình liên hệ với manufacturer để đặt hàng số lượng lớn
machine,cái machine này hư rồi sửa lại giùm em đi
prompt,cái prompt này khó quá mày giúp tao với
recover,em ráng ngủ đủ giấc để recover sức khỏe nha
refuse,tôi đã cố gắng giúp đỡ nhưng anh ấy vẫn refuse
remain,sau cơn bão mọi thứ remain nguyên vẹn thật may mắn
repeat,bạn nói lại đi mình không nghe rõ repeat được không
route,mình phải tìm route khác để về nhà cho nhanh
separation,tình cảm của họ đang trải qua giai đoạn separation khó khăn
series,tao đang cày series này cuốn quá mày ạ
zalo,hôm nào mình add zalo rồi nói chuyện cho tiện nha
smell,hôm nay trời mưa nên nhà mình có smell ẩm mốc khó chịu quá
grand,nhà mới của họ trông thật grand và ấm cúng
grade,em lo quá không biết semester này grade có cao không
great,hôm nay đi ăn bún đậu thấy great quá trời luôn á
handle,để tao handle vụ này cho mày
healthy,mình nghĩ ăn nhiều rau sẽ giúp mình healthy hơn đó
himself,anh ta tự build cái pc đó himself
hit,cú đá đó mà hit trúng thì toang luôn
homework,hôm nay mình không đi chơi được vì còn homework chưa xong
household,nhà mình cần mua thêm đồ dùng cho household
idea,tớ có một idea khá hay để cải thiện project này đó
identify,mình cần phải identify người này trước khi cho vào nhóm
important,việc này rất important nên mọi người phải chú ý
income,năm nay income của tôi tăng đáng kể đấy
interesting,ý kiến của bạn khá interesting đấy
interview,mai có một buổi interview quan trọng vào thứ sáu
island,ra đảo chơi đi relax ở cái island đó chắc vui
keyboard,em thích cái keyboard mới này quá gõ sướng tay
kitchen,tôi đang ở kitchen và nấu một món ăn việt nam
lab,hôm nay mình phải đến lab để làm thí nghiệm
setting,em thích cái setting lãng mạn của buổi tối hôm nay
share,em muốn share cái bánh này với anh không ạ
shooting,hôm nay mình đi xem phim có cảnh shooting
shower,tớ cần đi shower ngay vì người tớ dính đầy bùn đất
sign,nhìn cái sign kia kìa có dễ thấy không
signal,tín hiệu đèn giao thông bị lỗi nên mọi người không thấy signal
simple,bài này simple mà sao tôi làm mãi không được nhỉ
similar,hai bài kiểm tra này similar nhau quá nhỉ
significantly,giá nhà ở khu này significantly tăng so với năm ngoái
situation,trong situation này mình cần sự giúp đỡ của bạn gấp
sleep,hôm nay tôi không đi đâu cả tôi muốn sleep cả ngày
slide,chị ơi giúp em chỉnh cái slide này
smart,con bé nhà chị dạo này học hành smart lắm
slow,anh nói lại đi em nghe slow quá
sorry,tao lỡ làm rớt điện thoại của mày rồi sorry nha
speak,mình muốn speak tiếng anh trôi chảy hơn
space,anh cần thêm một chút space để suy nghĩ về chuyện này
happily,họ sống happily sau khi kết hôn
harmful,đừng nói những điều harmful như vậy với cô ấy
headache,hôm nay em bị headache quá chắc phải nghỉ ngơi thôi
hollow,cảm giác trống rỗng thật sự rất hollow
honey,em ơi honey anh yêu em nhiều lắm
ignore,tao đã bảo mày ignore nó đi rồi mà
impressive,bài thuyết trình của bạn impressive thật đấy
independence,mình muốn sống một cuộc đời đầy independence
indoor,chán quá hôm nay mưa nên phải chơi indoor thôi
inform,anh sẽ inform em khi nào có update
insult,đừng có insult người khác như thế không hay đâu
intelligent,bài tập này quá dễ chắc chắn bạn sẽ thấy nó intelligent
interrupt,đang nói chuyện tự nhiên cái nó interrupt làm tao quên mất tiêu
intention,anh làm vậy không có intention xấu đâu
into,tôi không hiểu sao dạo này mình lại into mấy chuyện drama này
investigate,để làm rõ vụ việc này chúng ta cần investigate kỹ lưỡng
issue,mình đang gặp một issue nhỏ với cái code này
jeans,hôm nay em mặc cái jeans này thấy thoải mái ghê á
juice,uống juice này cho khỏe người nha bạn
kick,tao sẽ kick mày ra khỏi group nếu còn spam
kid,một kid hư hỏng
kindness,mình luôn biết ơn những hành động kindness của bạn
ladder,để trèo lên cao trong sự nghiệp bạn cần một cái ladder vững chắc
labour,cái project này cần nhiều labour lắm đấy
lazy,hôm nay tôi thấy hơi lazy nên chắc ở nhà thôi
lean,em cứ lean vào anh nếu mệt nhé
lemon,cho miếng lemon vào trà sẽ ngon hơn đó
lend,anh có thể lend em cuốn sách đó được không
lively,hôm nay tôi cảm thấy rất lively và muốn đi chơi đâu đó
locally,anh ấy nổi tiếng locally nên ai cũng biết
locate,em chưa locate được cái chìa khóa xe ở đâu cả
logical,giải thích của bạn nghe không logical chút nào
lonely,hôm nay tôi cảm thấy hơi lonely một chút bạn ạ
loudly,em ấy cười loudly khi nghe câu chuyện của tôi
lovely,cái áo dài này lovely quá đi mất thôi
lover,anh ta là lover của em thật sao
advise,em nên nghe anh advise một câu nhé
admit,tôi phải admit là món bún đậu mắm tôm này ngon quá
always,em sẽ always yêu anh dù thế nào đi nữa
anger,cứ mỗi lần nhắc đến chuyện đó là anh lại thấy anger
ankle,hôm qua đá bóng bị trẹo cái ankle đau quá trời
annually,báo cáo doanh thu sẽ được trình bày annually tại cuộc họp
anticipate,mình nên chuẩn bị trước để anticipate những vấn đề có thể xảy ra
anxious,dạo này tôi thấy hơi anxious về việc học hành quá
any,em không có any idea về chuyện đó đâu
anybody,thôi kệ đi ở đây có anybody giúp được đâu
anyone,chuyện này anyone cũng có thể làm được mà
apologize,thôi đừng buồn nữa để mình apologize cho vụ đó nha
appoint,sếp sẽ appoint ai vào vị trí leader của team marketing vậy
argue,đừng argue với em chuyện đó em không sai
artificial,nhìn kìa hoa này artificial mà đẹp quá ha
autumn,thời tiết đang chuyển sang autumn rồi nên hơi se lạnh
awful,bài kiểm tra hôm nay awful quá tao muốn về nhà
bacteria,phải rửa tay thường xuyên để diệt bacteria gây bệnh nha
behaviour,mình không hiểu behaviour của ổng lắm
behave,mấy đứa nhỏ phải behave cho ngoan nghe chưa
bench,ra công viên ngồi cái bench hóng mát đi
bend,cẩn thận bend cái cây kẻo nó gãy đó
beside,anh đứng beside em đi để chụp hình
between,chọn lựa giữa cái này between cái kia khó quá
blade,cái dao thái rau này blade cùn quá phải mài thôi
borrow,cho em borrow cái bút này được không ạ
emphasize,mình muốn emphasize tầm quan trọng của việc học tiếng anh
employ,công ty đang tìm người để employ vào vị trí marketing
enemy,thằng đó là enemy của tao đừng tin nó
enormous,cái cây phượng ở sân trường mình to ơi là to phải nói là enormous
entertain,để mình entertain mọi người bằng một câu chuyện cười nhé
envelope,anh ấy nhờ tôi bỏ cái thư vào envelope rồi gửi đi
equally,mọi người đều cần được đối xử equally trong công việc
essay,tao cần mày viết một cái essay về topic này ngay lập tức
everybody,nhanh lên everybody sắp đến giờ rồi đó
everyone,mọi người đi ăn trưa nhé everyone
excite,tôi rất excite khi nghe tin bạn đậu đại học
excuse,excuse em cho hỏi đường đi nhà thờ đức bà
expose,mình không muốn expose chuyện này ra đâu
extreme,thời tiết hà nội hôm nay extreme quá chắc phải mặc áo ấm thôi
faithfully,anh ấy đã faithfully hoàn thành công việc được giao
favor,anh có thể làm cho em một favor được không
finish,ăn xong hết rồi thì mình finish luôn nha
finger,cẩn thận kẻo bị kẹp finger vào cửa nhé
frozen,chắc kèo tối nay mình đi ăn kem frozen nha
gather,mình cần gather mọi người lại để bàn về project này
generous,anh ấy generous quá trời luôn ai cũng quý
girlfriend,hôm qua tao thấy anh đi với một em xinh lắm chắc là girlfriend mới hả
glove,chơi bóng chày phải đeo glove cho an toàn nhé
grab,để em grab cái bánh mì rồi mình đi nha
gradual,việc học lập trình là một process gradual nhưng rất đáng giá
grammar,chị ấy giỏi tiếng anh lắm toàn sửa grammar cho em thôi
granddaughter,bà tự hào về granddaughter của bà bé thông minh và ngoan ngoãn lắm
grandmother,hôm nay mình đi ăn chè với grandmother ở đường nguyễn trãi
grandfather,ông nội tôi tức grandfather rất thích uống trà đá
grateful,mình thật sự rất grateful vì đã có cơ hội này
groceries,hôm nay em đi mua groceries cho cả nhà đó
informal,buổi gặp mặt này cứ để informal cho thoải mái
innocent,nhìn mặt nó innocent thế mà ai ngờ lại đi ăn trộm
stranger,em thấy anh ấy nói chuyện với stranger kia cả tiếng đồng hồ
strict,ba mẹ mình rất strict về giờ giấc nên mình phải về sớm
student,bạn ấy là một student
suffer,tôi không muốn phải suffer vì điều đó nữa đâu
supply,mình cần thêm supply cho dự án này để kịp deadline
surround,anh cảm thấy hơi ngộp khi bị surround bởi quá nhiều người
survive,phải thật giỏi thì mới survive được trong cái ngành này
